# phi psi z
2.647409539999999950e+00 -3.141592654000000095e+00 4.665539670900000147e+01
2.718007126999999912e+00 -3.141592654000000095e+00 4.226455845499999953e+01
2.788604714999999956e+00 -3.141592654000000095e+00 3.764142735800000139e+01
2.859202303000000001e+00 -3.141592654000000095e+00 3.288104764399999880e+01
2.929799889999999962e+00 -3.141592654000000095e+00 2.818368780300000154e+01
3.000397478000000007e+00 -3.141592654000000095e+00 2.376010326600000155e+01
3.070995066000000051e+00 -3.141592654000000095e+00 1.976014147900000140e+01
-3.141592654000000095e+00 -3.070995066000000051e+00 1.717689935499999976e+01
-3.070995066000000051e+00 -3.070995066000000051e+00 1.416265806000000005e+01
-3.000397478000000007e+00 -3.070995066000000051e+00 1.162671809000000067e+01
-2.929799889999999962e+00 -3.070995066000000051e+00 9.606148421000000326e+00
-2.859202303000000001e+00 -3.070995066000000051e+00 8.159614793999999449e+00
-2.788604714999999956e+00 -3.070995066000000051e+00 7.321284674000000159e+00
-2.718007126999999912e+00 -3.070995066000000051e+00 7.021243276999999949e+00
-2.647409539999999950e+00 -3.070995066000000051e+00 7.100370132000000112e+00
-2.576811951999999906e+00 -3.070995066000000051e+00 7.366102579999999733e+00
-2.506214363999999861e+00 -3.070995066000000051e+00 7.686007715999999768e+00
-2.435616775999999817e+00 -3.070995066000000051e+00 8.014318740000000219e+00
-2.365019188999999855e+00 -3.070995066000000051e+00 8.434149903999999864e+00
-2.294421600999999811e+00 -3.070995066000000051e+00 9.045714538000000360e+00
-2.223824013000000210e+00 -3.070995066000000051e+00 9.887839895999999129e+00
-2.153226425000000166e+00 -3.070995066000000051e+00 1.086329649800000041e+01
-2.082628838000000204e+00 -3.070995066000000051e+00 1.178598081200000003e+01
-2.012031250000000160e+00 -3.070995066000000051e+00 1.249664891399999966e+01
-1.941433661999999893e+00 -3.070995066000000051e+00 1.295643294599999962e+01
-1.870836074999999932e+00 -3.070995066000000051e+00 1.322798755800000059e+01
-1.800238487000000109e+00 -3.070995066000000051e+00 1.344799335399999940e+01
-1.729640899000000065e+00 -3.070995066000000051e+00 1.379559834500000015e+01
-1.659043311000000021e+00 -3.070995066000000051e+00 1.435898963500000036e+01
-1.588445724000000059e+00 -3.070995066000000051e+00 1.507450428699999989e+01
-1.517848136000000014e+00 -3.070995066000000051e+00 1.582598610700000030e+01
-1.447250547999999970e+00 -3.070995066000000051e+00 1.650092904699999963e+01
-1.376652961000000008e+00 -3.070995066000000051e+00 1.716238480199999827e+01
-1.306055372999999964e+00 -3.070995066000000051e+00 1.802764342500000083e+01
-1.235457784999999920e+00 -3.070995066000000051e+00 1.938520845700000095e+01
-1.164860197000000097e+00 -3.070995066000000051e+00 2.143447679699999853e+01
-1.094262609999999913e+00 -3.070995066000000051e+00 2.420335331000000068e+01
-1.023665022000000091e+00 -3.070995066000000051e+00 2.756608089799999917e+01
-9.530674340000000466e-01 -3.070995066000000051e+00 3.133709184900000011e+01
-8.824698469999999739e-01 -3.070995066000000051e+00 3.550274683600000003e+01
-8.118722590000000405e-01 -3.070995066000000051e+00 4.014753481900000054e+01
-7.412746709999999961e-01 -3.070995066000000051e+00 4.532293563900000066e+01
-6.706770829999999517e-01 -3.070995066000000051e+00 5.093948762600000180e+01
-6.000794959999999900e-01 -3.070995066000000051e+00 5.674529716699999682e+01
-5.294819079999999456e-01 -3.070995066000000051e+00 6.249440883599999808e+01
-4.588843200000000122e-01 -3.070995066000000051e+00 6.806980412500000455e+01
-3.882867320000000233e-01 -3.070995066000000051e+00 7.353656115699999418e+01
-3.176891450000000061e-01 -3.070995066000000051e+00 7.897607016400000646e+01
-2.470915569999999895e-01 -3.070995066000000051e+00 8.428939721499999393e+01
-1.764939690000000005e-01 -3.070995066000000051e+00 8.905010184299999310e+01
-1.058963819999999972e-01 -3.070995066000000051e+00 9.250557512599999654e+01
-3.529879400000000139e-02 -3.070995066000000051e+00 9.388007735700000467e+01
3.529879400000000139e-02 -3.070995066000000051e+00 9.274440934000000425e+01
1.058963819999999972e-01 -3.070995066000000051e+00 8.921596393500000488e+01
1.764939690000000005e-01 -3.070995066000000051e+00 8.397958308799999827e+01
2.470915569999999895e-01 -3.070995066000000051e+00 7.794239498000000310e+01
3.176891450000000061e-01 -3.070995066000000051e+00 7.185533603300000038e+01
3.882867320000000233e-01 -3.070995066000000051e+00 6.607861853500000393e+01
4.588843200000000122e-01 -3.070995066000000051e+00 6.060457081500000243e+01
5.294819079999999456e-01 -3.070995066000000051e+00 5.530891282599999670e+01
6.000794959999999900e-01 -3.070995066000000051e+00 5.014693132299999689e+01
6.706770829999999517e-01 -3.070995066000000051e+00 4.531275508000000229e+01
7.412746709999999961e-01 -3.070995066000000051e+00 4.112525596700000108e+01
8.118722590000000405e-01 -3.070995066000000051e+00 3.782548275399999937e+01
8.824698469999999739e-01 -3.070995066000000051e+00 3.543918282700000333e+01
9.530674340000000466e-01 -3.070995066000000051e+00 3.385459099700000252e+01
1.023665022000000091e+00 -3.070995066000000051e+00 3.293062509599999998e+01
1.094262609999999913e+00 -3.070995066000000051e+00 3.266062305300000190e+01
1.164860197000000097e+00 -3.070995066000000051e+00 3.310442117499999881e+01
1.235457784999999920e+00 -3.070995066000000051e+00 3.429647668199999799e+01
1.306055372999999964e+00 -3.070995066000000051e+00 3.618119004199999722e+01
1.376652961000000008e+00 -3.070995066000000051e+00 3.861985056799999683e+01
1.447250547999999970e+00 -3.070995066000000051e+00 4.143489008299999909e+01
1.517848136000000014e+00 -3.070995066000000051e+00 4.448146866500000129e+01
1.588445724000000059e+00 -3.070995066000000051e+00 4.762772150100000346e+01
1.659043311000000021e+00 -3.070995066000000051e+00 5.071073373699999820e+01
1.729640899000000065e+00 -3.070995066000000051e+00 5.360371563399999673e+01
1.800238487000000109e+00 -3.070995066000000051e+00 5.627143618000000203e+01
1.870836074999999932e+00 -3.070995066000000051e+00 5.868894753899999728e+01
1.941433661999999893e+00 -3.070995066000000051e+00 6.073639977700000259e+01
2.012031250000000160e+00 -3.070995066000000051e+00 6.229374427100000133e+01
2.082628838000000204e+00 -3.070995066000000051e+00 6.325254065600000075e+01
2.153226425000000166e+00 -3.070995066000000051e+00 6.359178217899999908e+01
2.223824013000000210e+00 -3.070995066000000051e+00 6.331032409099999825e+01
2.294421600999999811e+00 -3.070995066000000051e+00 6.239151864400000136e+01
2.365019188999999855e+00 -3.070995066000000051e+00 6.079170635300000214e+01
2.435616775999999817e+00 -3.070995066000000051e+00 5.846948659200000264e+01
2.506214363999999861e+00 -3.070995066000000051e+00 5.545907839899999914e+01
2.576811951999999906e+00 -3.070995066000000051e+00 5.184776826499999913e+01
2.647409539999999950e+00 -3.070995066000000051e+00 4.777403161499999840e+01
2.718007126999999912e+00 -3.070995066000000051e+00 4.335650531400000318e+01
2.788604714999999956e+00 -3.070995066000000051e+00 3.866936908699999975e+01
2.859202303000000001e+00 -3.070995066000000051e+00 3.383966417799999959e+01
2.929799889999999962e+00 -3.070995066000000051e+00 2.909246847800000069e+01
3.000397478000000007e+00 -3.070995066000000051e+00 2.465180321500000105e+01
3.070995066000000051e+00 -3.070995066000000051e+00 2.066689959200000004e+01
-3.141592654000000095e+00 -3.000397478000000007e+00 1.841738576999999921e+01
-3.070995066000000051e+00 -3.000397478000000007e+00 1.535430601500000058e+01
-3.000397478000000007e+00 -3.000397478000000007e+00 1.272704751500000064e+01
-2.929799889999999962e+00 -3.000397478000000007e+00 1.062137434799999980e+01
-2.859202303000000001e+00 -3.000397478000000007e+00 9.117128182000000081e+00
-2.788604714999999956e+00 -3.000397478000000007e+00 8.252399549999999806e+00
-2.718007126999999912e+00 -3.000397478000000007e+00 7.976421202000000044e+00
-2.647409539999999950e+00 -3.000397478000000007e+00 8.128204946000000319e+00
-2.576811951999999906e+00 -3.000397478000000007e+00 8.510320494000000124e+00
-2.506214363999999861e+00 -3.000397478000000007e+00 8.988397961000000436e+00
-2.435616775999999817e+00 -3.000397478000000007e+00 9.508427351999999999e+00
-2.365019188999999855e+00 -3.000397478000000007e+00 1.009502335800000061e+01
-2.294421600999999811e+00 -3.000397478000000007e+00 1.083749317300000037e+01
-2.223824013000000210e+00 -3.000397478000000007e+00 1.170743307400000077e+01
-2.153226425000000166e+00 -3.000397478000000007e+00 1.264018525400000037e+01
-2.082628838000000204e+00 -3.000397478000000007e+00 1.347445562799999941e+01
-2.012031250000000160e+00 -3.000397478000000007e+00 1.409908866299999985e+01
-1.941433661999999893e+00 -3.000397478000000007e+00 1.452823352499999920e+01
-1.870836074999999932e+00 -3.000397478000000007e+00 1.484565268499999924e+01
-1.800238487000000109e+00 -3.000397478000000007e+00 1.518537909299999988e+01
-1.729640899000000065e+00 -3.000397478000000007e+00 1.566129384599999952e+01
-1.659043311000000021e+00 -3.000397478000000007e+00 1.631422457200000053e+01
-1.588445724000000059e+00 -3.000397478000000007e+00 1.705344735799999967e+01
-1.517848136000000014e+00 -3.000397478000000007e+00 1.780430063200000035e+01
-1.447250547999999970e+00 -3.000397478000000007e+00 1.848275232499999987e+01
-1.376652961000000008e+00 -3.000397478000000007e+00 1.920437467400000031e+01
-1.306055372999999964e+00 -3.000397478000000007e+00 2.021603226299999889e+01
-1.235457784999999920e+00 -3.000397478000000007e+00 2.177954564799999915e+01
-1.164860197000000097e+00 -3.000397478000000007e+00 2.406125332999999955e+01
-1.094262609999999913e+00 -3.000397478000000007e+00 2.705367703299999960e+01
-1.023665022000000091e+00 -3.000397478000000007e+00 3.059634137400000142e+01
-9.530674340000000466e-01 -3.000397478000000007e+00 3.453845292900000175e+01
-8.824698469999999739e-01 -3.000397478000000007e+00 3.886502048999999914e+01
-8.118722590000000405e-01 -3.000397478000000007e+00 4.366937397200000248e+01
-7.412746709999999961e-01 -3.000397478000000007e+00 4.897883079700000053e+01
-6.706770829999999517e-01 -3.000397478000000007e+00 5.468926319500000233e+01
-6.000794959999999900e-01 -3.000397478000000007e+00 6.059300387399999721e+01
-5.294819079999999456e-01 -3.000397478000000007e+00 6.647575854400000139e+01
-4.588843200000000122e-01 -3.000397478000000007e+00 7.224223631399999590e+01
-3.882867320000000233e-01 -3.000397478000000007e+00 7.790303231999999412e+01
-3.176891450000000061e-01 -3.000397478000000007e+00 8.343077937699999325e+01
-2.470915569999999895e-01 -3.000397478000000007e+00 8.854588768200000004e+01
-1.764939690000000005e-01 -3.000397478000000007e+00 9.260419934300000477e+01
-1.058963819999999972e-01 -3.000397478000000007e+00 9.487717762600000526e+01
-3.529879400000000139e-02 -3.000397478000000007e+00 9.478279747000000555e+01
3.529879400000000139e-02 -3.000397478000000007e+00 9.222830581300000574e+01
1.058963819999999972e-01 -3.000397478000000007e+00 8.766778863599999738e+01
1.764939690000000005e-01 -3.000397478000000007e+00 8.189292759799999999e+01
2.470915569999999895e-01 -3.000397478000000007e+00 7.573991186300000322e+01
3.176891450000000061e-01 -3.000397478000000007e+00 6.974729806000000565e+01
3.882867320000000233e-01 -3.000397478000000007e+00 6.404072051299999657e+01
4.588843200000000122e-01 -3.000397478000000007e+00 5.854044275500000083e+01
5.294819079999999456e-01 -3.000397478000000007e+00 5.315242050100000171e+01
6.000794959999999900e-01 -3.000397478000000007e+00 4.791175897000000106e+01
6.706770829999999517e-01 -3.000397478000000007e+00 4.310226618600000137e+01
7.412746709999999961e-01 -3.000397478000000007e+00 3.904784615700000217e+01
8.118722590000000405e-01 -3.000397478000000007e+00 3.592015580799999697e+01
8.824698469999999739e-01 -3.000397478000000007e+00 3.368506413899999785e+01
9.530674340000000466e-01 -3.000397478000000007e+00 3.222603516600000262e+01
1.023665022000000091e+00 -3.000397478000000007e+00 3.142264714199999887e+01
1.094262609999999913e+00 -3.000397478000000007e+00 3.128888673100000162e+01
1.164860197000000097e+00 -3.000397478000000007e+00 3.188404879599999830e+01
1.235457784999999920e+00 -3.000397478000000007e+00 3.322824816400000003e+01
1.306055372999999964e+00 -3.000397478000000007e+00 3.526469249699999864e+01
1.376652961000000008e+00 -3.000397478000000007e+00 3.786231896999999691e+01
1.447250547999999970e+00 -3.000397478000000007e+00 4.081984123899999872e+01
1.517848136000000014e+00 -3.000397478000000007e+00 4.399146630700000316e+01
1.588445724000000059e+00 -3.000397478000000007e+00 4.722807367400000089e+01
1.659043311000000021e+00 -3.000397478000000007e+00 5.039177885499999832e+01
1.729640899000000065e+00 -3.000397478000000007e+00 5.338021615499999939e+01
1.800238487000000109e+00 -3.000397478000000007e+00 5.616493104300000283e+01
1.870836074999999932e+00 -3.000397478000000007e+00 5.868740877799999822e+01
1.941433661999999893e+00 -3.000397478000000007e+00 6.085706167299999692e+01
2.012031250000000160e+00 -3.000397478000000007e+00 6.253117714100000057e+01
2.082628838000000204e+00 -3.000397478000000007e+00 6.361345332700000199e+01
2.153226425000000166e+00 -3.000397478000000007e+00 6.407240635200000156e+01
2.223824013000000210e+00 -3.000397478000000007e+00 6.389603868799999731e+01
2.294421600999999811e+00 -3.000397478000000007e+00 6.309021956099999784e+01
2.365019188999999855e+00 -3.000397478000000007e+00 6.159513476699999757e+01
2.435616775999999817e+00 -3.000397478000000007e+00 5.937557942299999780e+01
2.506214363999999861e+00 -3.000397478000000007e+00 5.644920420599999744e+01
2.576811951999999906e+00 -3.000397478000000007e+00 5.292155654900000172e+01
2.647409539999999950e+00 -3.000397478000000007e+00 4.890629432000000065e+01
2.718007126999999912e+00 -3.000397478000000007e+00 4.451017093800000168e+01
2.788604714999999956e+00 -3.000397478000000007e+00 3.983937713099999911e+01
2.859202303000000001e+00 -3.000397478000000007e+00 3.501792676400000204e+01
2.929799889999999962e+00 -3.000397478000000007e+00 3.029751258900000010e+01
3.000397478000000007e+00 -3.000397478000000007e+00 2.588581801999999854e+01
3.070995066000000051e+00 -3.000397478000000007e+00 2.192366472200000160e+01
-3.141592654000000095e+00 -2.929799889999999962e+00 2.004182762099999948e+01
-3.070995066000000051e+00 -2.929799889999999962e+00 1.691991113199999930e+01
-3.000397478000000007e+00 -2.929799889999999962e+00 1.420027095899999914e+01
-2.929799889999999962e+00 -2.929799889999999962e+00 1.198503473799999952e+01
-2.859202303000000001e+00 -2.929799889999999962e+00 1.037778643799999934e+01
-2.788604714999999956e+00 -2.929799889999999962e+00 9.428564982999999344e+00
-2.718007126999999912e+00 -2.929799889999999962e+00 9.089915805000000404e+00
-2.647409539999999950e+00 -2.929799889999999962e+00 9.242773702999999230e+00
-2.576811951999999906e+00 -2.929799889999999962e+00 9.697582763999999855e+00
-2.506214363999999861e+00 -2.929799889999999962e+00 1.030486689199999972e+01
-2.435616775999999817e+00 -2.929799889999999962e+00 1.100316170700000029e+01
-2.365019188999999855e+00 -2.929799889999999962e+00 1.178819444400000016e+01
-2.294421600999999811e+00 -2.929799889999999962e+00 1.266501773699999944e+01
-2.223824013000000210e+00 -2.929799889999999962e+00 1.359794090900000008e+01
-2.153226425000000166e+00 -2.929799889999999962e+00 1.448473324799999951e+01
-2.082628838000000204e+00 -2.929799889999999962e+00 1.521836697700000052e+01
-2.012031250000000160e+00 -2.929799889999999962e+00 1.574540898000000055e+01
-1.941433661999999893e+00 -2.929799889999999962e+00 1.612542469599999961e+01
-1.870836074999999932e+00 -2.929799889999999962e+00 1.647522471999999993e+01
-1.800238487000000109e+00 -2.929799889999999962e+00 1.691788247399999889e+01
-1.729640899000000065e+00 -2.929799889999999962e+00 1.751953989900000153e+01
-1.659043311000000021e+00 -2.929799889999999962e+00 1.826253580599999893e+01
-1.588445724000000059e+00 -2.929799889999999962e+00 1.905515429800000149e+01
-1.517848136000000014e+00 -2.929799889999999962e+00 1.982217023700000169e+01
-1.447250547999999970e+00 -2.929799889999999962e+00 2.057732971000000077e+01
-1.376652961000000008e+00 -2.929799889999999962e+00 2.144362470200000104e+01
-1.306055372999999964e+00 -2.929799889999999962e+00 2.266525807000000015e+01
-1.235457784999999920e+00 -2.929799889999999962e+00 2.447696220199999928e+01
-1.164860197000000097e+00 -2.929799889999999962e+00 2.698019084399999912e+01
-1.094262609999999913e+00 -2.929799889999999962e+00 3.014413338199999970e+01
-1.023665022000000091e+00 -2.929799889999999962e+00 3.381458245299999987e+01
-9.530674340000000466e-01 -2.929799889999999962e+00 3.787946167599999825e+01
-8.824698469999999739e-01 -2.929799889999999962e+00 4.233852974999999930e+01
-8.118722590000000405e-01 -2.929799889999999962e+00 4.726143963300000195e+01
-7.412746709999999961e-01 -2.929799889999999962e+00 5.262839083099999726e+01
-6.706770829999999517e-01 -2.929799889999999962e+00 5.835480668699999995e+01
-6.000794959999999900e-01 -2.929799889999999962e+00 6.429092997099999707e+01
-5.294819079999999456e-01 -2.929799889999999962e+00 7.026099640099999988e+01
-4.588843200000000122e-01 -2.929799889999999962e+00 7.618929643900000315e+01
-3.882867320000000233e-01 -2.929799889999999962e+00 8.201668763300000364e+01
-3.176891450000000061e-01 -2.929799889999999962e+00 8.747604237500000579e+01
-2.470915569999999895e-01 -2.929799889999999962e+00 9.207593530699999462e+01
-1.764939690000000005e-01 -2.929799889999999962e+00 9.510869410799999457e+01
-1.058963819999999972e-01 -2.929799889999999962e+00 9.598414934500000584e+01
-3.529879400000000139e-02 -2.929799889999999962e+00 9.446091735800000322e+01
3.529879400000000139e-02 -2.929799889999999962e+00 9.077975432200000228e+01
1.058963819999999972e-01 -2.929799889999999962e+00 8.558531327100000397e+01
1.764939690000000005e-01 -2.929799889999999962e+00 7.963861795100000052e+01
2.470915569999999895e-01 -2.929799889999999962e+00 7.356279160299999376e+01
3.176891450000000061e-01 -2.929799889999999962e+00 6.766623232999999971e+01
3.882867320000000233e-01 -2.929799889999999962e+00 6.199615435500000160e+01
4.588843200000000122e-01 -2.929799889999999962e+00 5.644579756699999962e+01
5.294819079999999456e-01 -2.929799889999999962e+00 5.098145810399999789e+01
6.000794959999999900e-01 -2.929799889999999962e+00 4.573345860199999890e+01
6.706770829999999517e-01 -2.929799889999999962e+00 4.102200778899999989e+01
7.412746709999999961e-01 -2.929799889999999962e+00 3.711115388900000056e+01
8.118722590000000405e-01 -2.929799889999999962e+00 3.413221626800000053e+01
8.824698469999999739e-01 -2.929799889999999962e+00 3.205707715100000144e+01
9.530674340000000466e-01 -2.929799889999999962e+00 3.075987726800000033e+01
1.023665022000000091e+00 -2.929799889999999962e+00 3.014661991399999863e+01
1.094262609999999913e+00 -2.929799889999999962e+00 3.021531837399999887e+01
1.164860197000000097e+00 -2.929799889999999962e+00 3.101274990399999965e+01
1.235457784999999920e+00 -2.929799889999999962e+00 3.252820080000000047e+01
1.306055372999999964e+00 -2.929799889999999962e+00 3.469885109199999818e+01
1.376652961000000008e+00 -2.929799889999999962e+00 3.739025541499999861e+01
1.447250547999999970e+00 -2.929799889999999962e+00 4.042341276900000224e+01
1.517848136000000014e+00 -2.929799889999999962e+00 4.364549764499999895e+01
1.588445724000000059e+00 -2.929799889999999962e+00 4.690813936699999687e+01
1.659043311000000021e+00 -2.929799889999999962e+00 5.009368262000000271e+01
1.729640899000000065e+00 -2.929799889999999962e+00 5.314180388900000196e+01
1.800238487000000109e+00 -2.929799889999999962e+00 5.602456913399999650e+01
1.870836074999999932e+00 -2.929799889999999962e+00 5.866347669799999665e+01
1.941433661999999893e+00 -2.929799889999999962e+00 6.095792148999999682e+01
2.012031250000000160e+00 -2.929799889999999962e+00 6.275930892800000294e+01
2.082628838000000204e+00 -2.929799889999999962e+00 6.396017341099999953e+01
2.153226425000000166e+00 -2.929799889999999962e+00 6.452518897800000275e+01
2.223824013000000210e+00 -2.929799889999999962e+00 6.442844200400000432e+01
2.294421600999999811e+00 -2.929799889999999962e+00 6.369846808999999865e+01
2.365019188999999855e+00 -2.929799889999999962e+00 6.228718399600000311e+01
2.435616775999999817e+00 -2.929799889999999962e+00 6.013807703100000168e+01
2.506214363999999861e+00 -2.929799889999999962e+00 5.729763579899999826e+01
2.576811951999999906e+00 -2.929799889999999962e+00 5.385498595399999999e+01
2.647409539999999950e+00 -2.929799889999999962e+00 4.995013318099999822e+01
2.718007126999999912e+00 -2.929799889999999962e+00 4.566219558099999887e+01
2.788604714999999956e+00 -2.929799889999999962e+00 4.109342993599999971e+01
2.859202303000000001e+00 -2.929799889999999962e+00 3.640412897600000264e+01
2.929799889999999962e+00 -2.929799889999999962e+00 3.179965108500000071e+01
3.000397478000000007e+00 -2.929799889999999962e+00 2.747904698400000001e+01
3.070995066000000051e+00 -2.929799889999999962e+00 2.356191929899999948e+01
-3.141592654000000095e+00 -2.859202303000000001e+00 2.201583691600000137e+01
-3.070995066000000051e+00 -2.859202303000000001e+00 1.882501168699999994e+01
-3.000397478000000007e+00 -2.859202303000000001e+00 1.601841163899999998e+01
-2.929799889999999962e+00 -2.859202303000000001e+00 1.369093029199999911e+01
-2.859202303000000001e+00 -2.859202303000000001e+00 1.195567645999999939e+01
-2.788604714999999956e+00 -2.859202303000000001e+00 1.089450314399999975e+01
-2.718007126999999912e+00 -2.859202303000000001e+00 1.045784834400000030e+01
-2.647409539999999950e+00 -2.859202303000000001e+00 1.056821226799999991e+01
-2.576811951999999906e+00 -2.859202303000000001e+00 1.103525797400000030e+01
-2.506214363999999861e+00 -2.859202303000000001e+00 1.171556227299999975e+01
-2.435616775999999817e+00 -2.859202303000000001e+00 1.253493646799999972e+01
-2.365019188999999855e+00 -2.859202303000000001e+00 1.347741476600000077e+01
-2.294421600999999811e+00 -2.859202303000000001e+00 1.447386771699999919e+01
-2.223824013000000210e+00 -2.859202303000000001e+00 1.548022070000000028e+01
-2.153226425000000166e+00 -2.859202303000000001e+00 1.637196396999999948e+01
-2.082628838000000204e+00 -2.859202303000000001e+00 1.703935853699999825e+01
